Model,Train_RMSE,Train_MAE,Train_R2,Test_RMSE,Test_MAE,Test_R2,CV_RMSE
Linear Regression,52.44420835781831,41.60717282115632,0.8923065685889173,49.02083903529647,39.06682567554058,0.9006081536338354,53.624450754978895
Ridge,52.45490675554359,41.65754271167597,0.8922626260940527,49.14329933355779,39.293861544214806,0.9001109463873695,53.527203683328004
Lasso,52.664809389057616,41.914835616548565,0.8913986609658238,49.358639805447005,39.89424138275342,0.8992336229764741,53.26558356175474
ElasticNet,52.74357233564282,42.02588321008245,0.8910735802198344,49.80998108804285,40.33491707990329,0.8973823578923604,53.31789516777432
